OPPORTUNITY_TK,VERSION,DATE_FROM,DATE_TO,OPPORTUNITY_ID,OPPORTUNITY_NAME,OPPORTUNITY_CREATED_BY,OPPORTUNITY_DELETED,OPPORTUNITY_DESCRIPTION,OPPORTUNITY_TYPE,OPPORTUNITY_LEAD_SOURCE,OPPORTUNITY_NEXT_STEPS,OPPORTUNITY_SALES_STAGE
0,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,N/A,Not Set,Not Set,No,Not Set,Not Set,Not Set,Not Set,Not Set
1,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,81BDB319-ACD1-B6A6-B007-B764447F04E5,Curabitur Vel Institute-837,Not Set,No,Not Set,Existing Business,Partner,Not Set,Identifying Decision Makers
2,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5426C896-F978-314A-62F6-292552F2EC73,Sollicitudin Commodo Ltd-335,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Qualification
3,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F5DC05B3-3C0F-B1F1-279F-27C0BA1240B9,Ridiculus Mus LLP-296,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Qualification
4,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,004C986D-959E-7655-2960-B5AED8CA40A0,Facilisi Sed Inc.-960,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Won
5,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D5C023D7-671D-B0BE-218D-3C6B49ADDAE9,Mauris Company-986,Not Set,No,Not Set,Existing Business,Partner,Not Set,Qualification
6,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0A7FF603-0FE6-2683-5109-72E22C8CBD26,Fringilla Est Inc.-670,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Value Proposition
7,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BFE5BD56-6955-03DC-EB6E-3006D77402FC,Nascetur Ridiculus Mus Institute-649,Not Set,No,Not Set,Existing Business,Conference,Not Set,Qualification
8,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,770462A4-BC38-C844-100F-0E4DFCA61E08,Dapibus Gravida Company-239,Not Set,No,Not Set,New Business,Campaign,Not Set,Negotiation/Review
9,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EEE84087-73A4-B1DC-4B29-2CAE59718AC3,Ac Feugiat Non Incorporated-158,Not Set,No,Not Set,New Business,Web Site,Not Set,Negotiation/Review
10,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,93F7C8F8-835A-84CC-AC3D-F087CA09734E,Posuere Vulputate Corporation-995,Not Set,No,Not Set,New Business,Public Relations,Not Set,Proposal/Price Quote
11,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AC59ECB3-73B4-DADD-234D-8A17E54C193C,Sapien Aenean Ltd-517,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Identifying Decision Makers
12,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,98EEC690-E8BC-F6AF-07A0-AFA7647CDBFF,Pellentesque LLP-244,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Qualification
13,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8A69AB7E-1757-9E62-E986-0FDA54190756,Et Eros Proin Company-864,Not Set,No,Not Set,New Business,Trade Show,Not Set,Prospecting
14,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,21F69D2D-257F-F280-9940-2EB3C892FD3A,Auctor Non Feugiat Ltd-398,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Perception Analysis
15,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6A4AEDDA-19EC-B50A-1DAC-E3EB81A0545D,Parturient Montes PC-741,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Closed Lost
16,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,604F08EA-F505-7C5D-112D-C061A01598D1,Sociosqu Ad Company-651,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Prospecting
17,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A731D406-3029-D99C-E5BE-6436475669CA,Sapien Molestie Foundation-258,Not Set,No,Not Set,New Business,Conference,Not Set,Prospecting
18,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,29818709-51E4-94C9-E1BB-9744C8B3DE4E,Auctor Non Feugiat Ltd-881,Not Set,No,Not Set,Existing Business,Partner,Not Set,Value Proposition
19,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,339D86F7-541F-0E5E-4F3C-2E19EC1D6171,Sollicitudin Commodo Ltd-653,Not Set,No,Not Set,New Business,Public Relations,Not Set,Closed Lost
20,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F5670FCF-BFAD-712A-4510-33CC0A101A8C,Est Ltd-806,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Qualification
21,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C42EED19-86EB-EF50-6FF3-F634622D6A74,Vestibulum Massa Consulting-840,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Needs Analysis
22,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6B67A3D1-0932-D0F2-0729-850F0BC709EC,Eget Institute-645,Not Set,No,Not Set,New Business,Conference,Not Set,Value Proposition
23,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,23A2CF38-B65D-DCFA-C64B-96DA100D06B0,Luctus Et Corp.-747,Not Set,No,Not Set,New Business,Other,Not Set,Identifying Decision Makers
24,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E21BD6A9-B671-3C6C-A588-600E0B0A12F6,Scelerisque Lorem Inc.-642,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Qualification
25,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,492CFE51-F44C-CAF5-6A69-B0082C72D848,Vestibulum Nec LLC-170,Not Set,No,Not Set,Existing Business,Email,Not Set,Qualification
26,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BA703609-C5B1-1614-E6F2-1EC2A8F65ED7,Velit Dui Semper Institute-136,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Closed Lost
27,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,50765570-68D1-9EAF-FF55-C885234352D1,Sapien Molestie Foundation-171,Not Set,No,Not Set,New Business,Campaign,Not Set,Prospecting
28,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0B2A9CE9-B41D-771B-3BB8-2011E48EFA2C,Et Limited-515,Not Set,No,Not Set,New Business,Web Site,Not Set,Closed Won
29,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,17233F3C-800F-061B-EAE7-6EEDA9982082,Fringilla Est Inc.-571,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Prospecting
30,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E1AD6FC3-0138-A782-3AF4-E0CC01C106D3,Ac Nulla LLP-923,Not Set,No,Not Set,Existing Business,Conference,Not Set,Identifying Decision Makers
31,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,480954FA-FA09-7FB5-FDDE-43DFEC8957FA,Ac Nulla LLP-741,Not Set,No,Not Set,New Business,Campaign,Not Set,Negotiation/Review
32,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,25127821-E974-F077-8310-6F41E84293FE,Odio Corp.-112,Not Set,No,Not Set,New Business,Employee,Not Set,Identifying Decision Makers
33,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,49072450-0705-D8C8-D47E-E8E1FE9BFAAF,Velit Ltd-368,Not Set,No,Not Set,New Business,Email,Not Set,Negotiation/Review
34,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,900BF764-2DD6-B88F-E8C5-5D3DB26F2065,Urna Nec Institute-793,Not Set,No,Not Set,New Business,Trade Show,Not Set,Closed Won
35,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F7085103-C600-1F27-9DF8-33425E9B308C,Sapien Molestie Foundation-942,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Value Proposition
36,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BF83F700-E89D-6F08-9801-950EE9E2361C,Ligula Associates-916,Not Set,No,Not Set,New Business,Conference,Not Set,Qualification
37,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9B7E6477-98AC-85B0-E35D-D5CBF33AD69D,Vestibulum Nec LLC-484,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Perception Analysis
38,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F63F0249-7BD9-49BF-E23B-B169B308B05E,Urna Convallis Erat Incorporated-818,Not Set,No,Not Set,New Business,Trade Show,Not Set,Proposal/Price Quote
39,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5B89F8D3-2B15-D4A5-9028-F55DF1AE47B8,Risus In Mi Foundation-172,Not Set,No,Not Set,New Business,Public Relations,Not Set,Perception Analysis
40,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A0C05E61-8A71-83DD-B1F6-72978F952275,Felis Company-684,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Prospecting
41,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,45C7D354-8A6E-8B46-3524-D95E992AA021,Dapibus Gravida Company-982,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Identifying Decision Makers
42,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7C3844E2-BAA4-95E8-38E5-4CEF38555DCA,Molestie Orci Tincidunt Limited-355,Not Set,No,Not Set,New Business,Cold Call,Not Set,Proposal/Price Quote
43,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,74E040A3-EFB3-DA0E-0302-127E12138F17,Ac Nulla LLP-854,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Value Proposition
44,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2908A140-B4F7-C4C2-322C-A606667BDBEB,Mauris Company-592,Not Set,No,Not Set,New Business,Partner,Not Set,Negotiation/Review
45,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2DBC64E5-AC1C-5E1C-3345-49D1C162D0A6,Ante Ipsum Primis Consulting-315,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Negotiation/Review
46,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,200E29BB-CB93-F74E-C6DF-EB2F3A5CE548,Sem Corp.-620,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Perception Analysis
47,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5360EC8E-A9B5-36BD-AF75-57F0CD4CFDD8,Scelerisque Limited-751,Not Set,No,Not Set,Existing Business,Email,Not Set,Perception Analysis
48,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4AE4BF6F-794D-7A3F-7723-E92763083BDC,Dictum Magna Ut LLC-502,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Proposal/Price Quote
49,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0C0AD150-3320-FE4E-202F-53BE7E836749,Facilisi Sed Inc.-324,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Perception Analysis
50,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,98C69CAB-E2DB-C039-2670-1E3D505FDC96,Dapibus Gravida Company-876,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Prospecting
51,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2771EBC0-164E-335A-CE6B-C28030C2C45A,Purus Maecenas Ltd-838,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Prospecting
52,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7860448E-6662-F50A-D4D4-9114BCDC10CB,Et Corp.-389,Not Set,No,Not Set,New Business,Partner,Not Set,Qualification
53,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5A17A293-3406-64B6-3FC2-4E52EDEEBE63,Sapien Molestie Foundation-597,Not Set,No,Not Set,Existing Business,Partner,Not Set,Qualification
54,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F30FC34E-8F30-E15B-29B9-9A81E056F293,Facilisis Vitae Inc.-119,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Negotiation/Review
55,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6405FA38-0D71-5666-83E7-F660188A557B,Vel Turpis Institute-350,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Proposal/Price Quote
56,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7CB08741-6C7E-6169-7F8A-30B387BCAFAD,Donec Nibh Enim Industries-853,Not Set,No,Not Set,Existing Business,Other,Not Set,Value Proposition
57,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5B536058-7DC8-4CEA-C48B-CB94F9F56A85,Fringilla Porttitor Vulputate Foundation-804,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Perception Analysis
58,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,DE032CC6-8FBB-8122-6D6E-9489D4BC6B3A,Bibendum Fermentum Metus Corporation-940,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Perception Analysis
59,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,01A3C356-FB3C-40DA-2B60-7C3F404EE479,Mauris Rhoncus Institute-641,Not Set,No,Not Set,New Business,Self Generated,Not Set,Negotiation/Review
60,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,394CBBC8-5F38-3508-7E11-053ABC2FBF15,Sapien Molestie Foundation-420,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Closed Lost
61,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A4A03F5A-22DC-B9DF-176D-CFFFA1E6F13C,Scelerisque Lorem Inc.-149,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Identifying Decision Makers
62,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A0DA808E-E1C4-50DD-01FF-6C1308F3DF3F,Mauris Company-292,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Needs Analysis
63,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1BA6C1FF-45CC-9F39-63A6-D839765853CC,Ante Ipsum Primis Consulting-940,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Proposal/Price Quote
64,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F331AE1F-AC20-D0BA-E7D9-CBC7449CCD5F,At Sem Molestie Ltd-693,Not Set,No,Not Set,Existing Business,Email,Not Set,Closed Lost
65,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B203DF5F-7A62-8639-94CC-70CF0601CD9C,Libero Donec Consectetuer LLP-902,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Needs Analysis
66,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0CD172D3-F955-EE30-18EE-FF088FAB65DB,Curabitur Vel Institute-618,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Qualification
67,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,91D33963-4CB0-4DF1-C9EC-549811E30FDA,Luctus Et Corp.-724,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Value Proposition
68,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7B62F361-5404-35DC-A3FF-D3746E25FFC8,Ornare Sagittis LLC-251,Not Set,No,Not Set,Existing Business,Partner,Not Set,Closed Won
69,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2DE15CC5-016A-446E-EB96-E252BFA757E6,Pellentesque Ut LLC-317,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Perception Analysis
70,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,263AFA5A-2EEC-0DF6-83AF-2C07A02F8157,Curabitur Vel Institute-497,Not Set,No,Not Set,Existing Business,Employee,Not Set,Negotiation/Review
71,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4027395C-843D-7C5D-7A8D-22139E8AC2DE,Pellentesque LLP-164,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Negotiation/Review
72,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F9B7E2E9-51A3-B99E-280F-8D9605892E0E,Id Associates-358,Not Set,No,Not Set,New Business,Public Relations,Not Set,Identifying Decision Makers
73,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F4F9B864-615B-C6C0-16AA-37A00A5935A7,Enim Mauris Quis LLP-853,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Prospecting
74,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,07BE3599-A943-5BF0-8896-D4EBFCA40790,Et Corp.-306,Not Set,No,Not Set,New Business,Campaign,Not Set,Closed Won
75,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4AAD2258-6296-190F-1DBE-CE22DFA47995,Ante Ipsum Incorporated-359,Not Set,No,Not Set,New Business,Employee,Not Set,Qualification
76,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3DCA2932-82C8-E0C3-A24A-9F57EE4AFC0A,Scelerisque Scelerisque Dui Industries-478,Not Set,No,Not Set,New Business,Employee,Not Set,Closed Lost
77,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9EE94498-15C1-2296-4D37-25D360337264,Odio Aliquam Vulputate Corp.-556,Not Set,No,Not Set,New Business,Conference,Not Set,Identifying Decision Makers
78,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,709A6488-3C2F-0EBD-D0AB-A8D5F0338270,Sapien Aenean Ltd-599,Not Set,No,Not Set,New Business,Employee,Not Set,Proposal/Price Quote
79,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D4C3BEDB-85EC-618A-1EAC-7C1400AF1D4F,Eget Institute-701,Not Set,No,Not Set,New Business,Partner,Not Set,Needs Analysis
80,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B81023D9-BCF7-A78F-563D-0B1FD963F94E,Velit Ltd-329,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Prospecting
81,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CED4DE71-4C8A-58EB-4FF5-FE712956015D,Ac Feugiat Non Incorporated-481,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Negotiation/Review
82,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2548248A-986D-3FAC-E289-92F08D626CA6,Mauris Rhoncus Institute-589,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Negotiation/Review
83,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2378A81D-962B-702E-EC11-BC81ED3D24D6,Odio Corp.-887,Not Set,No,Not Set,Existing Business,Partner,Not Set,Closed Lost
84,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,85246C3C-F391-D6C4-EDF1-4FBCDAD9EDE1,Mollis Integer LLP-111,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Needs Analysis
85,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A24CC7AF-1F9E-A731-6250-3F816E1665AE,Ante Ipsum Primis Consulting-802,Not Set,No,Not Set,Existing Business,Employee,Not Set,Negotiation/Review
86,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9C147D83-C543-3DE8-880A-CF61FDE3F7C1,Mauris Rhoncus Institute-481,Not Set,No,Not Set,New Business,Self Generated,Not Set,Prospecting
