OPPORTUNITY_TK,VERSION,DATE_FROM,DATE_TO,OPPORTUNITY_ID,OPPORTUNITY_NAME,OPPORTUNITY_CREATED_BY,OPPORTUNITY_DELETED,OPPORTUNITY_DESCRIPTION,OPPORTUNITY_TYPE,OPPORTUNITY_LEAD_SOURCE,OPPORTUNITY_NEXT_STEPS,OPPORTUNITY_SALES_STAGE
262,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BC5CC9BC-11F5-BFFF-72C6-ADEC2186950F,Scelerisque Lorem Inc.-133,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Closed Lost
263,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7B848BEC-BDA8-91C9-ECD0-C120A848856F,Cras Vulputate Industries-226,Not Set,No,Not Set,Existing Business,Partner,Not Set,Negotiation/Review
264,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C2843D96-A0C0-EFC2-55B6-021BA16A565E,Mollis Integer LLP-894,Not Set,No,Not Set,New Business,Campaign,Not Set,Closed Won
265,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8251E7CB-DB9E-13A0-8EFB-6FF77940FBCE,Facilisi Sed Inc.-408,Not Set,No,Not Set,New Business,Conference,Not Set,Closed Lost
266,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8F201823-60D0-FD1D-08CF-10A7231CEB92,Urna Nec Institute-111,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Closed Lost
267,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F8245D13-1520-A06F-A3A8-B7BBD8C13856,Sociis Natoque LLC-398,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Identifying Decision Makers
268,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2756338C-A16B-D211-D452-61B3C9C28189,Amet Diam Consulting-726,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Identifying Decision Makers
269,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4B8AE1FD-46BF-6A5F-AE91-41C7F8E09F7F,Mollis Integer LLP-487,Not Set,No,Not Set,New Business,Conference,Not Set,Negotiation/Review
270,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CB48DCCF-D58C-F698-1CA9-20E1C31AF39E,Ipsum Donec PC-390,Not Set,No,Not Set,New Business,Email,Not Set,Qualification
271,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FCFF8034-6B65-4C2B-4198-0140A3876F21,Placerat Foundation-681,Not Set,No,Not Set,Existing Business,Email,Not Set,Perception Analysis
272,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9D590299-829E-9BB8-8571-20795F31641C,Mollis Integer LLP-334,Not Set,No,Not Set,New Business,Self Generated,Not Set,Needs Analysis
273,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7A7FE0F6-CD90-01DD-B2FE-A8765F6BFDED,Ridiculus Mus LLP-572,Not Set,No,Not Set,New Business,Trade Show,Not Set,Negotiation/Review
274,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,997B5A56-D92D-B587-BEF1-5B244DD9802B,Ornare Sagittis LLC-796,Not Set,No,Not Set,New Business,Partner,Not Set,Closed Won
275,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FFB7C6F0-254B-7A66-1EFA-DC43C291F640,Vestibulum Nec LLC-896,Not Set,No,Not Set,New Business,Campaign,Not Set,Closed Lost
276,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BB13B003-EEBF-F5E8-3B06-7C163FF37983,Erat Etiam Vestibulum Associates-499,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Prospecting
277,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,780B768C-206D-16BF-7AA7-1CC9254EA2B3,Ipsum Leo Elementum LLP-890,Not Set,No,Not Set,New Business,Public Relations,Not Set,Identifying Decision Makers
278,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7552E60D-81B8-15E4-3CCD-AC1F8F91DB32,Et Limited-420,Not Set,No,Not Set,Existing Business,Conference,Not Set,Qualification
279,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A64ABD69-15CB-C6CF-B6C7-B9597F6D43DE,Sociis Natoque LLC-711,Not Set,No,Not Set,New Business,Cold Call,Not Set,Value Proposition
280,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,90B9A1BD-177B-619B-3715-BC5AC0DD8256,Lectus Rutrum LLP-428,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Closed Won
281,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C4B33BB7-D275-ADA5-FCCA-15D18DF1DB63,Ac Feugiat Non Incorporated-234,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Qualification
282,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9749AD7C-0E76-4E85-D400-83EA736D40FC,Dictum Magna Ut LLC-530,Not Set,No,Not Set,New Business,Campaign,Not Set,Value Proposition
283,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,49C3C5C5-DECD-A807-FD9D-1CC342B6E387,Id Associates-807,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Qualification
284,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F048448B-D298-542D-7375-8A0E90C208A3,Nascetur Ridiculus Mus Institute-421,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Qualification
285,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8C4B10FD-8899-8C9B-E5A6-7D098A908E8A,Mollis Integer LLP-619,Not Set,No,Not Set,Existing Business,Employee,Not Set,Proposal/Price Quote
286,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9E3E6385-2F9D-1EC1-4243-62C43B24422A,Erat Etiam Vestibulum Associates-155,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Prospecting
287,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,955DEE16-5AC1-4EAB-8B32-D7BDED583A4D,Ante Ipsum Primis Consulting-789,Not Set,No,Not Set,New Business,Conference,Not Set,Needs Analysis
288,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,419D9FDD-F3E9-6D7C-40A9-4DF144B9DE2D,Luctus Et Corp.-590,Not Set,No,Not Set,New Business,Email,Not Set,Prospecting
289,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FAB68CBA-7AD8-E39D-FF5F-92FB561CB286,Sed LLC-818,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Perception Analysis
290,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BD53A4EA-5B35-1BF5-0240-06AE0BD8FF9E,Sociis Natoque LLC-553,Not Set,No,Not Set,New Business,Other,Not Set,Qualification
291,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,ECBD6825-7737-A09C-65E2-AA35F3274686,Parturient Montes PC-347,Not Set,No,Not Set,New Business,Cold Call,Not Set,Negotiation/Review
292,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BDCDECD7-C2E6-6533-54E6-B47E26EB7F72,Ante Ipsum Primis Associates-537,Not Set,No,Not Set,New Business,Partner,Not Set,Qualification
293,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BD9B696E-B225-235C-F424-A6805D5E0C2D,Mollis Integer LLP-315,Not Set,No,Not Set,Existing Business,Other,Not Set,Value Proposition
294,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,24BA4088-22F7-C7B0-AB89-DEE8D62D7F60,Sapien Molestie Foundation-224,Not Set,No,Not Set,Existing Business,Email,Not Set,Qualification
295,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,79DD7400-A4A6-8E43-AD2C-B84BD9901E92,Bibendum Fermentum Metus Corporation-573,Not Set,No,Not Set,New Business,Public Relations,Not Set,Closed Lost
296,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AC1B1E69-6E8B-5577-AB64-B647F842D576,Tempor Ltd-429,Not Set,No,Not Set,New Business,Conference,Not Set,Closed Lost
297,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,36842EBC-EA00-F05A-B044-A4D4FA026122,Et Corp.-494,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Closed Lost
298,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0BD5DF82-9367-4B8A-BEB7-7249EADC827C,Ipsum Leo Elementum LLP-552,Not Set,No,Not Set,New Business,Trade Show,Not Set,Proposal/Price Quote
299,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,28C3D6A0-790F-6904-7B0B-F62E259B8C80,Pede Ultrices A LLC-148,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Negotiation/Review
300,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6131A9A0-CBBE-8210-F5E6-3C5D7207B210,Lectus Rutrum LLP-187,Not Set,No,Not Set,New Business,Web Site,Not Set,Qualification
301,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,215D27B2-5E97-C2B6-7E28-AF67E576C8F2,Adipiscing Inc.-204,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Closed Won
302,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,55EB8998-7099-4D87-11C4-97CD41FEA06A,At Sem Molestie Ltd-371,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Negotiation/Review
303,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A239DD4F-049E-A0F6-3D5D-69ACF369FF7F,Mauris Company-716,Not Set,No,Not Set,New Business,Self Generated,Not Set,Qualification
304,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,19658C82-CFA7-45B4-D3B6-145CAFFDB340,Cras Vulputate Industries-330,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Lost
305,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,60F05607-F504-DDC4-71B4-535BBCAE51C1,Urna Nec Institute-746,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Closed Won
306,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B4B7ED8A-CB7F-6799-419E-B687804A1E82,Et Limited-888,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Prospecting
307,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,57608C71-058B-64D2-3267-F0276FEAC055,In Tempus Eu Industries-611,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Prospecting
308,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A934202D-97A1-8A7C-44AE-130A6390025C,Fames Ac Turpis Corporation-526,Not Set,No,Not Set,New Business,Self Generated,Not Set,Qualification
309,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,135C2F60-9663-B992-D6BB-D572153F7134,Scelerisque Limited-901,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Closed Won
310,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,68598B9B-42B1-DF43-686A-F25FE9C9A559,Et Eros Proin Company-699,Not Set,No,Not Set,New Business,Email,Not Set,Value Proposition
311,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A2AE0695-EC61-CD01-08B3-A80A46189E7F,Et Corp.-695,Not Set,No,Not Set,New Business,Trade Show,Not Set,Value Proposition
312,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1C7BB6D8-DEE6-BC1D-D03A-AE88455BE3B1,Ante Ipsum Incorporated-339,Not Set,No,Not Set,Existing Business,Other,Not Set,Identifying Decision Makers
313,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BE6E1249-B7C9-B59B-6716-4B43A9E6DBA0,Est Ltd-435,Not Set,No,Not Set,New Business,Campaign,Not Set,Proposal/Price Quote
314,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C2C9C1EF-FE1F-A994-7185-6658B954F93B,In Tempus Eu Industries-505,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Negotiation/Review
315,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,29789D76-944C-27AB-053D-30888BD53DF3,Et Limited-415,Not Set,No,Not Set,New Business,Cold Call,Not Set,Negotiation/Review
316,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,603D042B-5637-40D8-25B8-A97230630FD2,Et Eros Proin Company-935,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Qualification
317,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EE621A7C-5A99-1820-BB90-6016E7E78CA9,Primis In Faucibus LLP-239,Not Set,No,Not Set,Existing Business,Email,Not Set,Closed Lost
318,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8E349CFE-DC7C-3DA9-812A-6F2E0E2CF87D,Scelerisque Scelerisque Dui Industries-962,Not Set,No,Not Set,New Business,Employee,Not Set,Identifying Decision Makers
319,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0C944EB8-D8E7-F3B4-BC08-C81A0A56DE54,Eu Odio Corporation-879,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Closed Lost
320,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C8D36F4E-DDAB-CC3E-B0CE-F323CB6EEDAA,Nibh Enim PC-382,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Negotiation/Review
321,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A127F537-B2EB-7E8F-1156-00F97449C28C,Ante Ipsum Primis Consulting-444,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Value Proposition
322,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,20A69EC9-C869-7B56-3A02-0E42EF48071B,Lobortis Company-419,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Closed Won
323,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B0C5D7CC-98F8-21A7-85EB-2273697597E3,Ante Ipsum Primis Associates-548,Not Set,No,Not Set,New Business,Partner,Not Set,Proposal/Price Quote
324,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8AB2EEDE-16D1-705C-7F1A-AB0D2C5ADB5C,Augue LLP-570,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Identifying Decision Makers
325,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E7977324-D198-854E-64A5-9A023DE8F551,Sollicitudin Commodo Ltd-260,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Closed Lost
326,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E0289CCD-A520-6F76-CEBA-4935E8358259,Tempor Ltd-594,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Identifying Decision Makers
327,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B5917201-8981-B371-F9AB-2BD3B4AB2318,Facilisi Sed Inc.-676,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Perception Analysis
328,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B42C24EC-A94C-DEBF-D7AA-BE21F0D8DF79,Dolor Fusce Feugiat Corp.-210,Not Set,No,Not Set,New Business,Email,Not Set,Proposal/Price Quote
329,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1CDC41FB-8871-D318-59F7-A525983109FA,Scelerisque Scelerisque Dui Industries-123,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Closed Lost
330,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B7DD4496-FF2A-1674-7731-AC1878207A0D,Erat Etiam Vestibulum Associates-319,Not Set,No,Not Set,New Business,Public Relations,Not Set,Negotiation/Review
331,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2DFE87DD-7D96-BD3E-B89E-385BE383D912,Mauris Eu Elit LLC-111,Not Set,No,Not Set,Existing Business,Employee,Not Set,Needs Analysis
332,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,60C6E19B-4085-5555-E90B-AB4D61CC1389,Scelerisque Limited-863,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Value Proposition
333,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CDE6752C-DCBF-E372-187F-EC524568D08B,Facilisis Vitae Inc.-754,Not Set,No,Not Set,Existing Business,Other,Not Set,Value Proposition
334,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,83699D5B-F658-AC1B-042C-69EB74F3631A,Orci Incorporated-572,Not Set,No,Not Set,New Business,Email,Not Set,Value Proposition
335,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2B3374FA-C966-7355-9795-0B32DB48DC4D,Dolor Fusce Feugiat Corp.-239,Not Set,No,Not Set,Existing Business,Conference,Not Set,Closed Lost
336,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B2E49326-0E86-5CD3-C1EC-04A012F33CA3,Pellentesque Ut LLC-242,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Negotiation/Review
337,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A3A0FE5E-D3A6-D534-1F72-3A52DECF9E0C,Pellentesque A Facilisis Associates-444,Not Set,No,Not Set,New Business,Cold Call,Not Set,Closed Lost
338,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,218417C3-C088-5258-B375-5D45043F3412,Pellentesque PC-829,Not Set,No,Not Set,New Business,Conference,Not Set,Identifying Decision Makers
339,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BC6EF018-6B67-D794-348B-6E99E4A865A5,Sapien Aenean Ltd-258,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Proposal/Price Quote
340,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,92EA52DB-7CCB-0A23-9BD5-96800B6F93B0,Ante Ipsum Primis Associates-650,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Qualification
341,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FAC63012-6D1F-F62D-F4E1-121C46551C19,Pede Ultrices A LLC-132,Not Set,No,Not Set,Existing Business,Employee,Not Set,Qualification
342,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0650F702-DCCF-97FB-3AB2-E5C3DE37E0BF,Turpis Vitae Purus Foundation-185,Not Set,No,Not Set,New Business,Campaign,Not Set,Perception Analysis
343,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6110485F-49A7-13E3-B0A9-3B83687D6037,Molestie Orci Tincidunt Limited-258,Not Set,No,Not Set,New Business,Partner,Not Set,Identifying Decision Makers
344,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,48512D55-A437-8ECE-329C-2FB05399B4E8,Curabitur Vel Institute-750,Not Set,No,Not Set,Existing Business,Other,Not Set,Qualification
345,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6BA3EF8F-63C5-DDAE-1652-001D9A2B7815,Et Limited-384,Not Set,No,Not Set,New Business,Other,Not Set,Proposal/Price Quote
346,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8979090F-4250-B0DF-8F4B-C595A255729B,Nullam Lobortis Quam Industries-649,Not Set,No,Not Set,New Business,Campaign,Not Set,Proposal/Price Quote
347,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CA7E9DD8-5109-DD85-1B02-172B16F7F5E6,Pellentesque Ut LLC-440,Not Set,No,Not Set,New Business,Web Site,Not Set,Prospecting
348,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9E8457C1-5688-9D8A-6E18-FD307C9E7A0C,Ligula Associates-469,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Perception Analysis
349,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EEDB6AFE-D340-3407-2C5F-C4C01A4F7C8E,Porttitor Tellus Non PC-663,Not Set,No,Not Set,New Business,Employee,Not Set,Value Proposition
350,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6C9CDBD8-D265-3B11-8E04-2F1FBCEE7670,Sapien Aenean Ltd-208,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Proposal/Price Quote
